id,code,title,category,severity,origin,verification,evidence_grade,files,found_by,symptom,root_cause,evidence,fix,phase,sort_order
"U-M1","U-M1","Version 'single source of truth' hardcoded in many places","misaligned","major","prior-audit","confirmed","V1","VERSION.md, CMakeLists.txt, gifscythe.pro, qtui/main.cpp, MainWindow.cpp, cli/main.cpp, test_engine.sh, GifsicleSettings.h, build_gifsicle.sh fallback","S3 M1 · S1 C1","VERSION.md claims to be the human-readable source of truth. A bump still requires editing scattered string literals. test_engine.sh would silently test the previous engine after a bump.","No generated version.h. Scripts that do grep VERSION.md (build_gifsicle.sh, package_*.sh, build.sh echo) are inconsistent with C++/qmake/CMake/test_engine which hardcode 0.1.0.","This pass grep of 0.1.0 in working_code/gifscythe: CMakeLists.txt:2, gifscythe.pro:16, qtui/main.cpp:9, MainWindow.cpp:24, cli/main.cpp:70, test_engine.sh:13, GifsicleSettings.h:10, plus README/VERSION.md copies and build_gifsicle.sh fallback. More than the original 7.","Generate version.h from VERSION.md at configure time. Scripts grep VERSION.md. Delete duplicate literals.","P1","110"
"U-M2","U-M2","'Add GIF files…' replaces the queue instead of appending","misaligned","major","prior-audit","confirmed","V1","src/qtui/MainWindow.cpp:94–101","S3 M3","Second selection throws away the first. Opposite of every batch queue (XnConvert, Caesium) the vision cites.","chooseInputs() does `inputs_ = files; inputList_->clear();` — assign, not append.","MainWindow.cpp:97 is exactly `inputs_ = files; inputList_->clear();`","Append + dedupe. Add Remove-Selected and Clear-All (WORKLIST task 4).","P1","120"
"U-M3","U-M3","The 'live' command pane isn't live","misaligned","major","prior-audit","confirmed","V1","src/qtui/MainWindow.cpp:69–70, 89–90, 103–106","S3 M4 · S1 A4","Hint label: 'The command preview is always kept in sync.' Only the two spinboxes are connected to refreshCommand(). Typing in the output field does not update the pane until Browse is used.","connect() only on optimizeSpin_ and lossySpin_ valueChanged. outputEdit_ has no textChanged. Queue changes refresh only because chooseInputs calls refreshCommand() after replace.","Lines 89–90 are the only valueChanged connections. chooseOutput refreshes after setText. No QLineEdit::textChanged. FEASIBILITY_REVIEW also promised two-way sync (see NEW-3).","Connect outputEdit_::textChanged and the list model. Better: one settingsChanged() signal every control emits. Quote args for display (U-MISS-3).","P1","130"
"U-M4","U-M4","build.sh docs promise a GUI the default path never builds","misaligned","major","prior-audit","confirmed","V1","build.sh:1–36","S3 M5 · S1 A8","Header: '+ GUI (only where Qt6 is installed)'. Code: want_gui=auto immediately becomes 0. SESSION_HANDOFF treats the build script as the contract with the next session.","Comment written for the intended behavior; the auto branch was disabled and never updated.","build.sh:6 vs :34–36.","Pick one story. Either default-build GUI when qmake/cmake+Qt exist, or change the header to say GUI is opt-in via --all/--gui.","P1","140"
"U-M5","U-M5","Dead config.h writer + swallowed Qt-build errors","misaligned","major","prior-audit","confirmed","V1","scripts/build_gifsicle.sh:55–61 · build.sh:62–73","S3 M6 · S1 C3","build_gifsicle.sh announces 'writing a generated one' and writes nothing. build.sh sends the entire Qt build to /dev/null, then says 'see Qt errors above' when none are visible.","Incomplete scaffolding left in the script. Error swallowing to keep CI green.","build_gifsicle.sh:57–61 if [[ ! -f config.h ]] echo … fi with no redirect/write. build.sh:70–73 qmake6 … >/dev/null 2>&1 || echo GUI build failed (see Qt errors above).","Delete the dead branch; comment that config.h is the handwritten Linux file in reference_code/gifsicle/. Log Qt output to a file and tail it on failure.","P1","150"
"U-M6","U-M6","Packagers look for the GUI where cmake does not put it","misaligned","major","prior-audit","confirmed","V1","scripts/package_portable.sh:12 · scripts/package_system.sh:8 · CMakeLists.txt","S3 M7","cmake emits the GUI into build/, qmake into build/gui/. Both packaging scripts only copy build/gui/gifscythe. A 'portable GUI release' can silently ship without the GUI. windeployqt is manual-only.","Two build systems, one packager assumption.","package_portable.sh:12 `build/gui/gifscythe`. CMake qt_add_executable(gifscythe …) with no RUNTIME_OUTPUT_DIRECTORY set to build/gui.","One build path (CMake), one output dir. package_portable.sh runs windeployqt on Windows. CI asserts expected files exist in the portable folder.","P1","160"
"U-M7","U-M7","Engine identity vs product identity conflated","misaligned","minor","prior-audit","reproduced","V1","scripts/build_gifsicle.sh:71–74","S1 C2","gifsicle --version reports 'LCDF Gifsicle 0.1.0' instead of 1.96. Engine version ≠ product version; upstream traceability is lost.","COMPILE_ARGS uses -DVERSION=\\\"$VERSION\\\" where VERSION is grepped from the product VERSION.md.","This pass after a successful native engine build: first line of --version is exactly `LCDF Gifsicle 0.1.0`. Copyright still 1997-2025 Eddie Kohler.","Keep -DVERSION=\\\"1.96\\\" for the engine. Use the product version only for the release directory name.","P1","170"
"U-M8","U-M8","Settings parser inconsistencies","misaligned","minor","prior-audit","reproduced","V1","src/core/SettingsIO.h:45–56","S1 C5","Bool parsing is inconsistent: info accepts 1/true/yes, every other bool only 1/true. (unsigned)to_long wraps negatives silently to huge crop/position values.","Copy-paste of ad-hoc parsers. No parse_bool(), no range check before the unsigned cast.","This pass probe: info=yes → 1, interlace=yes → 0. to_long(\"-5\")=-5, (unsigned) that is 4294967291. Original note that rotation has no 'none': actually any unrecognized value including 'none' falls through to Rotation::None — so 'none' works by accident. Partial on that sub-claim.","One parse_bool() that accepts 1/true/yes/on. Reject/clamp negatives before unsigned casts. Treat unknown rotation explicitly.","P0","180"
"U-M9","U-M9","Doc & repo hygiene drift","misaligned","minor","prior-audit","confirmed","V1","README.md (root) · working_code/gifscythe/.gitignore · MainWindow.cpp","S1","Root README layout block still says gifsicle-1.96/ as the repo root folder name. .gitignore ignores release/*/gifsicle but not packaged Gifscythe* folders. Qt6-deprecated QStringList::toStdVector/fromStdVector still used. Two parallel build systems.","Docs written against an older tree shape; Qt API used from memory of Qt5.","Root README.md line 8 of the layout fence is `gifsicle-1.96/`. MainWindow.cpp:109 toStdVector, :125 fromStdVector. No root .gitignore at all (this pass) — stronger than the original note.","Fix the folder name, ignore packaged folders, replace deprecated Qt APIs with range constructors, standardize on CMake.","P2","190"
"U-MISS-1","U-MISS-1","SettingsIO cannot save — 'load/save' is load-only","missing","major","prior-audit","confirmed","V1","src/core/SettingsIO.h","S3 G1 · S1 B1","The header describes itself as the load/save serialization the GUI will use to persist per-file settings and round-trip state. There is no writer. No presets, no per-file persistence, no CLI↔GUI round-trip.","Writer never implemented. load_settings_file even swallows open failures and returns a default Settings.","This pass: grep save_settings over working_code/gifscythe → no matches. Header comment line 1–3 still says 'Load/save'.","save_settings() as the exact inverse of load_settings() plus a round-trip unit test load(save(s)) == s.","P1","200"
"U-MISS-2","U-MISS-2","No validation layer — bad values vanish silently","missing","major","prior-audit","reproduced","V1","src/core/GifsicleCommand.h · src/core/SettingsIO.h","S3 G2 · S1 C9","Out-of-range settings are dropped without a trace. colors=999 emits no -k. disposal=9 emits nothing. In a GUI, a control that 'does nothing' is indistinguishable from a bug.","GifsicleCommand gates on ranges (color_count 2–256, disposal 0–7) and simply omits the flag. No Warning type, no CLI print, no GUI hint.","This pass: conf with colors=999 produced a command with no -k. lossy=abc became --lossy=0 via U-B10 rather than a parse error.","gs::validate(const Settings&) → vector<Warning>{field,value,reason}. CLI prints them. GUI shows inline hints.","P1","210"
"U-MISS-3","U-MISS-3","No safe-execution layer / no shell quoting / no ~ expansion","missing","major","prior-audit","confirmed","V1","src/cli/main.cpp:43–50 · GifsicleCommand.h toString()","S3 G3 · S1 B5/B6","Execution uses a shell (U-B6). Display is unquoted. resolve_path() treats leading ~ as 'absolute' and returns it unchanged, so the engine receives a literal tilde.","resolve_path: `if (p.empty() || p[0]=='/' || p[0]=='~') return p;`","cli/main.cpp:44. No tilde expansion, no $HOME. toString has no quote helper.","argv exec + shell_quote for display. Expand ~ to $HOME or reject with a clear error.","P0","220"
"U-MISS-4","U-MISS-4","GUI: no async execution, no progress, no cancel","missing","major","prior-audit","confirmed","V1","src/qtui/MainWindow.cpp:122–138 · MainWindow.h","S3 G4 · S2 N15","WORKLIST task 4 (progress, cancel) has no foundation. Run blocks the UI thread. runButton_ stays enabled because the event loop is frozen, then a timeout can lie (U-B5).","QProcess is a stack local inside runCommand(), not a member, so signals cannot outlive the call.","MainWindow.h has no QProcess member (only an unused #include <QProcess>). runCommand constructs `QProcess proc(this)` on the stack.","Member QProcess, started/readyReadStandardError/finished, busy state disabling Run, Cancel → kill(). Per-file progress in batch mode.","P2","230"
"U-MISS-5","U-MISS-5","No shared engine discovery / startup health check","missing","major","prior-audit","confirmed","V1","src/cli/main.cpp · src/qtui/MainWindow.cpp:26","S3 G5 · S1 B4","CLI and GUI each invented their own locator. CLI is CWD-sniffed (U-B2). GUI only looks at applicationDirPath()/gifsicle — which is never where build.sh puts the engine (release/<ver>/).","No gs::EngineLocator in core. GUI line 26 is a one-liner with no fallback and no .exe suffix (see NEW-2).","GUI: `enginePath_ = QCoreApplication::applicationDirPath() + \"/gifsicle\";` — no exists() check at startup, no release/ probe, no GS_ENGINE.","gs::EngineLocator in src/core (exe-dir → GS_ENGINE → PATH → release/<GS_VERSION>), used by both fronts. Show path+version in the GUI status bar.","P1","240"
"U-MISS-6","U-MISS-6","Tests never exercise the flows that actually fail","missing","major","prior-audit","reproduced","V1","tests/test_gifsicle_command.cpp · scripts/test_engine.sh · build.sh · .github/workflows/build.yml","S3 G6 · S1 B7","35 in-process argv assertions on happy paths. Nothing covers --run exit codes, CWD sensitivity, merge-vs-batch, empty output, malformed conf, spaces in paths, or SettingsIO round-trip. test_engine.sh is not called by build.sh or CI.","Unit tests were written against the command builder only. IMPROVEMENT_LOG's 'integration tests pass' has no integration test.","This pass: 35 CHECK() calls + 1 macro (grep CHECK( = 36). test_engine.sh 5/5 pass when invoked by hand. grep test_engine in build.sh and build.yml → no matches. Test 4 is also tautological (NEW-15).","CI smoke: --run from ≥2 CWDs, malformed-conf, merge-vs-batch, spaces-in-paths, SettingsIO round-trip, test_engine.sh both jobs, artifact upload.","P2","250"
"U-MISS-7","U-MISS-7","Drag-and-drop: enabled but not implemented","missing","minor","prior-audit","confirmed","V1","src/qtui/MainWindow.cpp:44","S2 N4 · S1 A5","inputList_->setAcceptDrops(true) with no dragEnterEvent/dropEvent override. Dropping files from the OS does nothing (QListWidget default DnD is internal item moves).","Flag set as a TODO marker. WORKLIST task 4 still open.","Line 44 is the only drop-related call. MainWindow does not override drop events. No custom QListWidget subclass.","Subclass QListWidget or event-filter; accept Qt::CopyAction; append mimeData()->urls() with dedupe.","P1","260"
"U-MISS-8","U-MISS-8","No queue management controls","missing","minor","prior-audit","confirmed","V1","src/qtui/MainWindow.cpp left column","S2 N5","No Remove-Selected, no Clear-All. Combined with U-M2 (replace-not-append), users restart the app to drop one file.","MVP scaffold only wired Add.","Left column widgets: label, QListWidget, one 'Add GIF files…' button. No other queue actions.","Remove-Selected + Clear-All. Already on WORKLIST task 4.","P1","270"
"U-MISS-9","U-MISS-9","No mode selector — Batch/Explode/Auto unreachable in the GUI","missing","minor","prior-audit","confirmed","V1","src/qtui/MainWindow.cpp:108–113 · src/core/GifsicleSettings.h:22–27","S2 N3","Mode::Merge is hardcoded. Mode::Batch, Explode, Auto exist in the core layer and settings format but no widget exposes them. This is why U-B3 happens.","GUI MVP only exposed optimize + lossy + output.","currentSettings(): `gs::Settings s; s.mode = gs::Mode::Merge;`. No QComboBox in the file.","QComboBox Auto/Merge/Batch/Explode. Required once U-B3 is fixed so the user can choose 'optimize each' vs 'merge into one'.","P0","280"
"U-MISS-10","U-MISS-10","Dither is bool-only; docs promise method selection","missing","minor","prior-audit","confirmed","V1","src/core/GifsicleSettings.h:78 · GifsicleCommand.h:82 · FEASIBILITY_REVIEW.md mapping table","S2 N9","FEASIBILITY_REVIEW mapping table says --dither=floyd-steinberg|ro64|none. Core models bool dither and emits bare -f (default Floyd–Steinberg).","MVP mapped the short option only. Committed engine: -f is a separate flag; --dither is Clp_ValString with Clp_Optional, so methods need the attached form.","gifsicle.c options[]: `{ 0, 'f', DITHER_OPT, 0, Clp_Negate }` and `{ \"dither\", 0, DITHER_OPT, Clp_ValString, Clp_Negate | Clp_Optional }`. Code emitting -f is correct as far as it goes.","std::string dither_method (\"\" = off) emitting -f or --dither=<method>.","P3","290"
"U-MISS-11","U-MISS-11","No LICENSE / GPL compliance artifacts in the product tree","missing","minor","prior-audit","confirmed","V1","repo root · scripts/package_portable.sh","S1","FEASIBILITY_REVIEW §5 is explicit: distributing gifsicle (GPL v2-only) alongside a GPLv3 UI requires shipping gifsicle's license text + source offer. There is no LICENSE/COPYING at repo root. package_portable.sh ships VERSION.md + README.md only.","Compliance deferred. Engine COPYING exists only under reference_code/gifsicle/COPYING — the packager never copies it.","This pass find LICENSE/COPYING at depth≤3: only the two gifsicle trees. package_portable.sh:13 copies VERSION.md README.md.","Add COPYING (GPLv2 for the engine) + attribution; copy them into the portable folder; keep gifsicle a separate process forever unless Eddie Kohler grants a v3 exception.","P1","300"
"U-MISS-12","U-MISS-12","Windows packaging path incomplete","missing","minor","prior-audit","confirmed","V1","scripts/package_portable.sh · .github/workflows/build.yml","S3 M7 · WORKLIST 1–2","No windeployqt automation, no Windows GUI build in CI, no artifact, no smoke test of the portable folder on a clean machine. This is the whole remaining path to 1.0.0.","Packaging scripts were written on Linux against the qmake output layout.","grep windeployqt over the repo: no matches except docs. Windows job has no upload-artifact.","windeployqt inside package_portable.sh on Windows; CI asserts portable-folder contents; clean-machine smoke test before 1.0.0.","P1","310"
"U-MISS-13","U-MISS-13","Remaining GifsicleSettings controls unexposed in GUI","missing","minor","prior-audit","confirmed","V1","src/qtui/MainWindow.cpp · src/core/GifsicleSettings.h","WORKLIST task 5","The GUI exposes 2 of ~30 modeled controls (optimize + lossy; output is a path, not a gifsicle feature). FEASIBILITY_REVIEW §3(2) already contains the complete slider↔flag mapping table.","Planned retrofit, not an accident — listed for completeness so it does not get lost behind 'MVP done'.","Settings has mode, info, interlace, flips, rotation, position, crop, delay, disposal, loopcount, unoptimize, threads, colors, dither, gamma, color_method, careful, resize_*, background, transparent, comments, explode_by_name. GUI binds optimize_level, lossy, output, inputs.","Mechanical widgets↔settings work on top of the now-honest core. Keep the live raw-CLI pane. After P0/P1, not before.","P3","320"
"N1","N1","REFUTED — loopcount=0 is not 'play once'","refuted","advisory","prior-audit","refuted","V1","src/core/GifsicleCommand.h:160–165 · reference_code/gifsicle/src/gifsicle.c:1853–1858","S2 N1 (false positive)","Secondary audit claimed --loopcount=0 emits the wrong flag and should be changed to --loopcount=forever. Implementing that 'fix' is unnecessary; changing the semantics would be the bug.","Misread of the man page. --loopcount=0 is equivalent to --loopcount=forever, not --no-loopcount.","This pass, committed source gifsicle.c case 'l': if negated, loopcount=-1 (--no-loopcount); else loopcount = (clp->have_val ? clp->val.i : 0). Official man page: '--loopcount=0 is equivalent to --loopcount=forever, not --no-loopcount.' Current code emitting --loopcount=0 for 'loop forever' is exactly right.","Do not change this. Both forms work; =0 is canonical. Keep the unit test that asserts --loopcount=0.","none","400"
"N2","N2","REFUTED — -O0 is valid ('optimization off')","refuted","advisory","prior-audit","refuted","V1","src/core/GifsicleCommand.h:166–168 · gifsicle.c OPTIMIZE_OPT:1866–1878","S2 N2 (false positive)","Secondary audit claimed -O0 is invalid and the spinbox should clamp to 1. The GUI already exposes 0–3. Clamping to 1 would remove a legitimate 'off' setting.","Man page lists three positive levels; the parser still accepts 0 and uses it to clear the optimize mask.","This pass, OPTIMIZE_OPT handler: if negated or value<0 then o=0; else o = have_val ? val.i : 1; then `optimizing = (optimizing & ~GT_OPT_MASK) | o`. No error path for 0. GUI spinbox range 0–3 is correct; label 0 as 'Off' if anything.","Do not clamp. Optionally setSpecialValueText('Off') on optimizeSpin_ like lossy already does.","none","410"
"N11","N11","REFUTED — MainWindow.h missing from CMake does not break moc","refuted","advisory","prior-audit","refuted","V3","CMakeLists.txt:32–33","S2 N11 (false positive)","Secondary audit claimed omitting MainWindow.h from target sources causes a linker 'undefined reference to vtable'.","qt_standard_project_setup() (Qt ≥ 6.3) sets CMAKE_AUTOMOC ON. AUTOMOC scans headers included by listed sources — MainWindow.h is #included by MainWindow.cpp. qmake path mocs Q_OBJECT headers automatically too.","CMakeLists.txt calls qt_standard_project_setup() then qt_add_executable(gifscythe src/qtui/main.cpp src/qtui/MainWindow.cpp). Weakest grade: not execution-verified here (no Qt in this sandbox). Adding the header to sources remains a harmless belt-and-braces measure.","No link failure to fix. Optional: list MainWindow.h in target sources for older Qt.","none","420"
"N14","N14","REFUTED — gamma does not default to 0.0","refuted","advisory","prior-audit","refuted","V1","src/core/GifsicleSettings.h:80 · GifsicleCommand.h:87","S2 N14 (false positive)","Secondary audit claimed gamma defaults to 0.0 so --gamma 0.0 is always emitted. That would have been a real bug. It is not the code.","Misread of the default. Sentinel is -1.0; gate is >= 0.","This pass, GifsicleSettings.h: `double gamma = -1.0; // --gamma; -1 = unchanged`. GifsicleCommand.h: `if (s.gamma >= 0) { add --gamma; add f2s(s.gamma); }`. --gamma is Clp_ValString (required value), so the two-arg form is also correct.","No change. Do not implement the attached audit's P1 'Fix Argument Logic (N1, N2, N14)' — all three premises are wrong.","none","430"
"NEW-1","NEW-1","Windows engine is compiled against Linux config.h — static_assert will fire","new","critical","this-pass","confirmed","V1","reference_code/gifsicle/config.h · src/win32cfg.h · scripts/build_gifsicle.sh:55–76 · gifsicle.c:1466","this pass (not in prior audits)","Even after U-B8 (Chocolatey package name) is fixed, `./scripts/build_gifsicle.sh --windows` still feeds the handwritten Linux config.h to a Win64 compiler. gifsicle.c main() static_assert(sizeof(unsigned long) == SIZEOF_UNSIGNED_LONG) will fail: Win64 long is 4 bytes, config.h says 8. PATHNAME_SEPARATOR is '/', RANDOM is random() (win32cfg.h correctly has '\\\\' and rand). The dedicated win32cfg.h is never included.","build_gifsicle.sh always compiles with -DHAVE_CONFIG_H -I. using reference_code/gifsicle/config.h, for both native and --windows. The 'if no config.h, writing a generated one' branch is dead (U-M5) and would still write the Linux file. Upstream split Makefile.w32 / Makefile.w64 exists for this exact reason — the comment above the static_assert says so.","config.h:56 `#define SIZEOF_UNSIGNED_LONG 8`, :61 PATHNAME_SEPARATOR '/', :39 `#define RANDOM random`. win32cfg.h:137 SIZEOF_UNSIGNED_LONG 4, :125 PATHNAME_SEPARATOR '\\\\', :128 RANDOM rand. gifsicle.c:1462–1468 comment: 'If these assertions fail, you've used the wrong Makefile. You should've used Makefile.w32 for 32-bit Windows and Makefile.w64 for 64-bit Windows.' quantize.c calls RANDOM(). build_gifsicle.sh uses the same COMPILE_ARGS for TARGET=windows and native.","For --windows, copy/adapt win32cfg.h as config.h (or -include src/win32cfg.h and do not include the Linux config.h). Set SIZEOF_UNSIGNED_LONG 4, SIZEOF_VOID_P 8, PATHNAME_SEPARATOR '\\\\', RANDOM rand, drop HAVE_UNISTD_H / HAVE_MKSTEMP / HAVE_SYS_SELECT_H as needed. Do not share the Linux config.h across targets.","P0","500"
